"Location Name Key","Number of Rows","Latitude","Longitude","Population","Combined_Key","Country or Region","Province or State","State","Name","USA or Global","USA State County","FIPS USA State County code","County State Key"
"St. Helena, Louisiana, US","12","30.82210324","-90.71013176",,"St. Helena, Louisiana, US","US","Louisiana","Louisiana","LA","United States","St. Helena","22091","ST. HELENA, LA"
"Rwanda","29","-1.9403","29.8739","12952209","Rwanda","Rwanda","","",,"Global",,,
"Wilson, North Carolina, US","21","35.70625477","-77.917978",,"Wilson, North Carolina, US","US","North Carolina","North Carolina","NC","United States","Wilson","37195","WILSON, NC"
"Bonaire, Sint Eustatius and Saba, Netherlands","10","12.1784","-68.2385",,"Bonaire, Sint Eustatius and Saba, Netherlands","Netherlands","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",,"Global","","",
"Cleburne, Arkansas, US","21","35.53864922","-92.02640019",,"Cleburne, Arkansas, US","US","Arkansas","Arkansas","AR","United States","Cleburne","5023","CLEBURNE, AR"
"Pulaski, Virginia, US","9","37.06474963","-80.71229738",,"Pulaski, Virginia, US","US","Virginia","Virginia","VA","United States","Pulaski","51155","PULASKI, VA"
"Taos, New Mexico, US","21","36.58006022","-105.6310198",,"Taos, New Mexico, US","US","New Mexico","New Mexico","NM","United States","Taos","35055","TAOS, NM"
"Sedgwick, Kansas, US","21","37.6842718","-97.4608198",,"Sedgwick, Kansas, US","US","Kansas","Kansas","KS","United States","Sedgwick","20173","SEDGWICK, KS"
"St. James, Louisiana, US","21","30.02531716","-90.80212061",,"St. James, Louisiana, US","US","Louisiana","Louisiana","LA","United States","St. James","22093","ST. JAMES, LA"
"Scott, Indiana, US","21","38.68672078","-85.74627859",,"Scott, Indiana, US","US","Indiana","Indiana","IN","United States","Scott","18143","SCOTT, IN"
"Washington, Missouri, US","3","37.96130078","-90.87948158",,"Washington, Missouri, US","US","Missouri","Missouri","MO","United States","Washington","29221","WASHINGTON, MO"
"Jackson, Oklahoma, US","21","34.58781741","-99.41138784",,"Jackson, Oklahoma, US","US","Oklahoma","Oklahoma","OK","United States","Jackson","40065","JACKSON, OK"
"Scotland, Missouri, US","5","40.45214695","-92.14709064",,"Scotland, Missouri, US","US","Missouri","Missouri","MO","United States","Scotland","29199","SCOTLAND, MO"
"Osage, Missouri, US","13","38.46036182","-91.8613635",,"Osage, Missouri, US","US","Missouri","Missouri","MO","United States","Osage","29151","OSAGE, MO"
"Nevada, Arkansas, US","14","33.66340119","-93.30632432",,"Nevada, Arkansas, US","US","Arkansas","Arkansas","AR","United States","Nevada","5099","NEVADA, AR"
"Botswana","13","-22.3285","24.6849",,"Botswana","Botswana","","",,"Global","","",
"Houghton, Michigan, US","13","46.89988536","-88.68495385",,"Houghton, Michigan, US","US","Michigan","Michigan","MI","United States","Houghton","26061","HOUGHTON, MI"
"Carlton, Minnesota, US","12","46.59180601","-92.67601019",,"Carlton, Minnesota, US","US","Minnesota","Minnesota","MN","United States","Carlton","27017","CARLTON, MN"
"Stafford, Virginia, US","21","38.41758738","-77.45917053",,"Stafford, Virginia, US","US","Virginia","Virginia","VA","United States","Stafford","51179","STAFFORD, VA"
"Russell, Virginia, US","6","36.9302832","-82.10095486",,"Russell, Virginia, US","US","Virginia","Virginia","VA","United States","Russell","51167","RUSSELL, VA"
"Trinidad and Tobago","29","10.6918","-61.2225","1399491","Trinidad and Tobago","Trinidad and Tobago","","",,"Global",,,
"Douglas, Georgia, US","21","33.70291126","-84.77026156",,"Douglas, Georgia, US","US","Georgia","Georgia","GA","United States","Douglas","13097","DOUGLAS, GA"
"Benton, Iowa, US","18","42.08011739","-92.06463573",,"Benton, Iowa, US","US","Iowa","Iowa","IA","United States","Benton","19011","BENTON, IA"
"Pasquotank, North Carolina, US","21","36.26723798","-76.25134778",,"Pasquotank, North Carolina, US","US","North Carolina","North Carolina","NC","United States","Pasquotank","37139","PASQUOTANK, NC"
"Swift, Minnesota, US","5","45.2829032","-95.68264092",,"Swift, Minnesota, US","US","Minnesota","Minnesota","MN","United States","Swift","27151","SWIFT, MN"
"Lyon, Minnesota, US","12","44.41327865","-95.83806103",,"Lyon, Minnesota, US","US","Minnesota","Minnesota","MN","United States","Lyon","27083","LYON, MN"
"Hamlin, South Dakota, US","15","44.67385954","-97.18829593",,"Hamlin, South Dakota, US","US","South Dakota","South Dakota","SD","United States","Hamlin","46057","HAMLIN, SD"
"Fayette, Ohio, US","18","39.56021306","-83.4562016",,"Fayette, Ohio, US","US","Ohio","Ohio","OH","United States","Fayette","39047","FAYETTE, OH"
"Vigo, Indiana, US","21","39.42944561","-87.39169027",,"Vigo, Indiana, US","US","Indiana","Indiana","IN","United States","Vigo","18167","VIGO, IN"
"Columbia, Florida, US","21","30.22509788","-82.62160164",,"Columbia, Florida, US","US","Florida","Florida","FL","United States","Columbia","12023","COLUMBIA, FL"
"McKean, Pennsylvania, US","4","41.80938602","-78.56478358",,"McKean, Pennsylvania, US","US","Pennsylvania","Pennsylvania","PA","United States","McKean","42083","MCKEAN, PA"
"Golden Valley, Montana, US","1","46.3816474","-109.17685220000001",,"Golden Valley, Montana, US","US","Montana","Montana","MT","United States","Golden Valley","30037","GOLDEN VALLEY, MT"
"Mono, California, US","21","37.93899289","-118.8872409",,"Mono, California, US","US","California","California","CA","United States","Mono","6051","MONO, CA"
"Halifax, Virginia, US","19","36.76654925","-78.93512622",,"Halifax, Virginia, US","US","Virginia","Virginia","VA","United States","Halifax","51083","HALIFAX, VA"
"Morris, New Jersey, US","21","40.86095313","-74.5455371",,"Morris, New Jersey, US","US","New Jersey","New Jersey","NJ","United States","Morris","34027","MORRIS, NJ"
"Collier, Florida, US","21","26.11091986","-81.34687065",,"Collier, Florida, US","US","Florida","Florida","FL","United States","Collier","12021","COLLIER, FL"
"King and Queen, Virginia, US","12","37.71044922","-76.88689628",,"King and Queen, Virginia, US","US","Virginia","Virginia","VA","United States","King and Queen","51097","KING AND QUEEN, VA"
"Garvin, Oklahoma, US","21","34.70418038","-97.30811132",,"Garvin, Oklahoma, US","US","Oklahoma","Oklahoma","OK","United States","Garvin","40049","GARVIN, OK"
"Antelope, Nebraska, US","12","42.17695516","-98.06662829999999",,"Antelope, Nebraska, US","US","Nebraska","Nebraska","NE","United States","Antelope","31003","ANTELOPE, NE"
"Brown, Wisconsin, US","21","44.4526553","-88.00411844",,"Brown, Wisconsin, US","US","Wisconsin","Wisconsin","WI","United States","Brown","55009","BROWN, WI"
"Hall, Georgia, US","21","34.32207823","-83.81896936",,"Hall, Georgia, US","US","Georgia","Georgia","GA","United States","Hall","13139","HALL, GA"
"Hinds, Mississippi, US","21","32.2656285","-90.44435448",,"Hinds, Mississippi, US","US","Mississippi","Mississippi","MS","United States","Hinds","28049","HINDS, MS"
"DeKalb, Illinois, US","21","41.89373302","-88.76958483",,"DeKalb, Illinois, US","US","Illinois","Illinois","IL","United States","DeKalb","17037","DEKALB, IL"
"Comal, Texas, US","21","29.80811278","-98.27647225",,"Comal, Texas, US","US","Texas","Texas","TX","United States","Comal","48091","COMAL, TX"
"Clinton, Pennsylvania, US","9","41.23255967","-77.63785995",,"Clinton, Pennsylvania, US","US","Pennsylvania","Pennsylvania","PA","United States","Clinton","42035","CLINTON, PA"
"Toombs, Georgia, US","17","32.12059861","-82.32957247",,"Toombs, Georgia, US","US","Georgia","Georgia","GA","United States","Toombs","13279","TOOMBS, GA"
"Summit, Colorado, US","25","39.5912","-106.0640","31011","Summit, Colorado, US","US","Colorado","Colorado","CO","United States","Summit","8117","SUMMIT, CO"
"Virginia, US","47","37.7693","-78.1700",,"Virginia, US","US","Virginia","Virginia",,"United States","Solano",,
"Johnson, Indiana, US","21","39.48994426","-86.10149107",,"Johnson, Indiana, US","US","Indiana","Indiana","IN","United States","Johnson","18081","JOHNSON, IN"
"Caledonia, Vermont, US","20","44.46548598","-72.10314651",,"Caledonia, Vermont, US","US","Vermont","Vermont","VT","United States","Caledonia","50005","CALEDONIA, VT"
"Mason, Michigan, US","5","43.99509218","-86.24988902",,"Mason, Michigan, US","US","Michigan","Michigan","MI","United States","Mason","26105","MASON, MI"
"Minidoka, Idaho, US","12","42.85518524","-113.6357257",,"Minidoka, Idaho, US","US","Idaho","Idaho","ID","United States","Minidoka","16067","MINIDOKA, ID"
"Platte, Missouri, US","20","39.38154439","-94.77068479",,"Platte, Missouri, US","US","Missouri","Missouri","MO","United States","Platte","29165","PLATTE, MO"
"Saluda, South Carolina, US","21","34.00795823","-81.72713237",,"Saluda, South Carolina, US","US","South Carolina","South Carolina","SC","United States","Saluda","45081","SALUDA, SC"
"Morton, North Dakota, US","21","46.71681782","-101.2822377",,"Morton, North Dakota, US","US","North Dakota","North Dakota","ND","United States","Morton","38059","MORTON, ND"
"Grayson, Texas, US","20","33.62744998","-96.67753461",,"Grayson, Texas, US","US","Texas","Texas","TX","United States","Grayson","48181","GRAYSON, TX"
"Mason, Texas, US","8","30.71780434","-99.22629416",,"Mason, Texas, US","US","Texas","Texas","TX","United States","Mason","48319","MASON, TX"
"Franklin City, Virginia, US","12","36.6831435","-76.93859681",,"Franklin City, Virginia, US","US","Virginia","Virginia","VA","United States","Franklin City","51620","FRANKLIN CITY, VA"
"Hampshire, West Virginia, US","4","39.32103553","-78.60826476",,"Hampshire, West Virginia, US","US","West Virginia","West Virginia","WV","United States","Hampshire","54027","HAMPSHIRE, WV"
"Lincoln, Minnesota, US","16","44.41311883","-96.26688165",,"Lincoln, Minnesota, US","US","Minnesota","Minnesota","MN","United States","Lincoln","27081","LINCOLN, MN"
"Montezuma, Colorado, US","14","37.33859579","-108.5958857",,"Montezuma, Colorado, US","US","Colorado","Colorado","CO","United States","Montezuma","8083","MONTEZUMA, CO"
"Henderson, Tennessee, US","7","35.65581134","-88.38600175",,"Henderson, Tennessee, US","US","Tennessee","Tennessee","TN","United States","Henderson","47077","HENDERSON, TN"
"Highlands, Florida, US","21","27.34254618","-81.34071957",,"Highlands, Florida, US","US","Florida","Florida","FL","United States","Highlands","12055","HIGHLANDS, FL"
"Dawson, Georgia, US","21","34.44244079","-84.16964071",,"Dawson, Georgia, US","US","Georgia","Georgia","GA","United States","Dawson","13085","DAWSON, GA"
"Morrow, Oregon, US","16","45.41846568","-119.584546",,"Morrow, Oregon, US","US","Oregon","Oregon","OR","United States","Morrow","41049","MORROW, OR"
"San Mateo, California, US","29","37.5630","-122.3255","766573","San Mateo, California, US","US","California","California","CA","United States","San Mateo","6081","SAN MATEO, CA"
"Guadalupe, Texas, US","21","29.58165339","-97.94786822",,"Guadalupe, Texas, US","US","Texas","Texas","TX","United States","Guadalupe","48187","GUADALUPE, TX"
"Penobscot, Maine, US","21","45.40194593","-68.65020455",,"Penobscot, Maine, US","US","Maine","Maine","ME","United States","Penobscot","23019","PENOBSCOT, ME"
"Buchanan, Iowa, US","19","42.4709188","-91.83510825",,"Buchanan, Iowa, US","US","Iowa","Iowa","IA","United States","Buchanan","19019","BUCHANAN, IA"
"Atascosa, Texas, US","21","28.89333001","-98.52730485",,"Atascosa, Texas, US","US","Texas","Texas","TX","United States","Atascosa","48013","ATASCOSA, TX"
"Gem, Idaho, US","15","44.06482372","-116.398376",,"Gem, Idaho, US","US","Idaho","Idaho","ID","United States","Gem","16045","GEM, ID"
"Concho, Texas, US","2","31.32635934","-99.86473038",,"Concho, Texas, US","US","Texas","Texas","TX","United States","Concho","48095","CONCHO, TX"
"Terrell, Georgia, US","21","31.77527543","-84.44069698",,"Terrell, Georgia, US","US","Georgia","Georgia","GA","United States","Terrell","13273","TERRELL, GA"
"Raleigh, West Virginia, US","17","37.76936795","-81.2456041",,"Raleigh, West Virginia, US","US","West Virginia","West Virginia","WV","United States","Raleigh","54081","RALEIGH, WV"
"Clayton, Georgia, US","21","33.54187245","-84.35594188",,"Clayton, Georgia, US","US","Georgia","Georgia","GA","United States","Clayton","13063","CLAYTON, GA"
"Union, New Jersey, US","21","40.65835409","-74.30680092",,"Union, New Jersey, US","US","New Jersey","New Jersey","NJ","United States","Union","34039","UNION, NJ"
"South Dakota, US","11","44.2998","-99.4388",,"South Dakota, US","US","South Dakota","South Dakota",,"United States","Solano",,
"Maldives","35","3.2028","73.2207","540542","Maldives","Maldives","","",,"Global",,,
"Pettis, Missouri, US","16","38.72798918","-93.28471706",,"Pettis, Missouri, US","US","Missouri","Missouri","MO","United States","Pettis","29159","PETTIS, MO"
"Washington, Minnesota, US","21","45.03864533","-92.88429635",,"Washington, Minnesota, US","US","Minnesota","Minnesota","MN","United States","Washington","27163","WASHINGTON, MN"
"Essex, New Jersey, US","21","40.78681335","-74.24657979",,"Essex, New Jersey, US","US","New Jersey","New Jersey","NJ","United States","Essex","34013","ESSEX, NJ"
"Telfair, Georgia, US","10","31.92829517","-82.93491155",,"Telfair, Georgia, US","US","Georgia","Georgia","GA","United States","Telfair","13271","TELFAIR, GA"
"Scioto, Ohio, US","6","38.80270163","-82.98907345",,"Scioto, Ohio, US","US","Ohio","Ohio","OH","United States","Scioto","39145","SCIOTO, OH"
"Cuba","31","22.0000","-80.0000","11326616","Cuba","Cuba","","",,"Global",,,
"Victoria, Texas, US","19","28.79780988","-96.96813006",,"Victoria, Texas, US","US","Texas","Texas","TX","United States","Victoria","48469","VICTORIA, TX"
"Iroquois, Illinois, US","16","40.74717633","-87.82466784",,"Iroquois, Illinois, US","US","Illinois","Illinois","IL","United States","Iroquois","17075","IROQUOIS, IL"
"Milwaukee, Wisconsin, US","21","43.00486062","-87.96733172",,"Milwaukee, Wisconsin, US","US","Wisconsin","Wisconsin","WI","United States","Milwaukee","55079","MILWAUKEE, WI"
"Decatur, Georgia, US","18","30.87967778","-84.57619536",,"Decatur, Georgia, US","US","Georgia","Georgia","GA","United States","Decatur","13087","DECATUR, GA"
"Hendry, Florida, US","14","26.55386945","-81.16469006",,"Hendry, Florida, US","US","Florida","Florida","FL","United States","Hendry","12051","HENDRY, FL"
"Richmond, Virginia, US","9","37.937575","-76.72920628",,"Richmond, Virginia, US","US","Virginia","Virginia","VA","United States","Richmond","51159","RICHMOND, VA"
"Oakland, Michigan, US","21","42.66090111","-83.38595416",,"Oakland, Michigan, US","US","Michigan","Michigan","MI","United States","Oakland","26125","OAKLAND, MI"
"Shelby, Illinois, US","4","39.39133527","-88.80611122",,"Shelby, Illinois, US","US","Illinois","Illinois","IL","United States","Shelby","17173","SHELBY, IL"
"Unassigned, Tennessee, US","20","0.0","0.0",,"Unassigned, Tennessee, US","US","Tennessee","Tennessee","TN","United States","Unassigned","","UNASSIGNED, TN"
"Wayne, Ohio, US","18","40.82925852","-81.88844833",,"Wayne, Ohio, US","US","Ohio","Ohio","OH","United States","Wayne","39169","WAYNE, OH"
"Choctaw, Mississippi, US","19","33.34598242","-89.24809382",,"Choctaw, Mississippi, US","US","Mississippi","Mississippi","MS","United States","Choctaw","28019","CHOCTAW, MS"
"Queen Anne's, Maryland, US","21","39.06198912","-76.03530977",,"Queen Anne's, Maryland, US","US","Maryland","Maryland","MD","United States","Queen Anne's","24035","QUEEN ANNE'S, MD"
"Fayette, Texas, US","21","29.87788372","-96.92076062",,"Fayette, Texas, US","US","Texas","Texas","TX","United States","Fayette","48149","FAYETTE, TX"
"Amherst, Virginia, US","21","37.60308293","-79.14548696",,"Amherst, Virginia, US","US","Virginia","Virginia","VA","United States","Amherst","51009","AMHERST, VA"
"Lafayette, Florida, US","3","29.98484137","-83.18166636",,"Lafayette, Florida, US","US","Florida","Florida","FL","United States","Lafayette","12067","LAFAYETTE, FL"
"Sequatchie, Tennessee, US","12","35.36979721","-85.41022136",,"Sequatchie, Tennessee, US","US","Tennessee","Tennessee","TN","United States","Sequatchie","47153","SEQUATCHIE, TN"
"Cooke, Texas, US","2","33.63979567","-97.21240912",,"Cooke, Texas, US","US","Texas","Texas","TX","United States","Cooke","48097","COOKE, TX"
"Wythe, Virginia, US","14","36.91582035","-81.07834059",,"Wythe, Virginia, US","US","Virginia","Virginia","VA","United States","Wythe","51197","WYTHE, VA"
"Mali","18","17.570692","-3.996166000000001",,"Mali","Mali","","",,"Global","","",
"Minnehaha, South Dakota, US","21","43.67441641","-96.7910885",,"Minnehaha, South Dakota, US","US","South Dakota","South Dakota","SD","United States","Minnehaha","46099","MINNEHAHA, SD"
"Chilton, Alabama, US","18","32.85044126","-86.7173256",,"Chilton, Alabama, US","US","Alabama","Alabama","AL","United States","Chilton","01021","CHILTON, AL"
"Calhoun, Alabama, US","21","33.77483727","-85.82630386",,"Calhoun, Alabama, US","US","Alabama","Alabama","AL","United States","Calhoun","1015","CALHOUN, AL"
"United Kingdom","30","55.3781","-3.436","67886004","United Kingdom","United Kingdom","","",,"Global",,,
"Seneca, New York, US","11","42.78081007","-76.82497064",,"Seneca, New York, US","US","New York","New York","NY","United States","Seneca","36099","SENECA, NY"
"Jefferson, Arkansas, US","21","34.26767081","-91.92619839",,"Jefferson, Arkansas, US","US","Arkansas","Arkansas","AR","United States","Jefferson","5069","JEFFERSON, AR"
"Bollinger, Missouri, US","17","37.32449052","-90.02725304",,"Bollinger, Missouri, US","US","Missouri","Missouri","MO","United States","Bollinger","29017","BOLLINGER, MO"
"Ivory Coast","1",,,,"Ivory Coast","Ivory Coast","","",,"Global",,,
"Gray, Texas, US","10","35.40081878","-100.8129222",,"Gray, Texas, US","US","Texas","Texas","TX","United States","Gray","48179","GRAY, TX"
"Bay, Michigan, US","21","43.70639106","-83.98731479",,"Bay, Michigan, US","US","Michigan","Michigan","MI","United States","Bay","26017","BAY, MI"
"Fremont, Colorado, US","18","38.47362326","-105.43996670000001",,"Fremont, Colorado, US","US","Colorado","Colorado","CO","United States","Fremont","08043","FREMONT, CO"
"Union, Iowa, US","2","41.0277278","-94.24234847",,"Union, Iowa, US","US","Iowa","Iowa","IA","United States","Union","19175","UNION, IA"
"Kenai Peninsula, Alaska, US","9","60.24429722","-151.53888840000005",,"Kenai Peninsula, Alaska, US","US","Alaska","Alaska","AK","United States","Kenai Peninsula","02122","KENAI PENINSULA, AK"
"Walton, Florida, US","21","30.64204028","-86.16935664",,"Walton, Florida, US","US","Florida","Florida","FL","United States","Walton","12131","WALTON, FL"
"Fairfield, Ohio, US","19","39.75107189","-82.63088163",,"Fairfield, Ohio, US","US","Ohio","Ohio","OH","United States","Fairfield","39045","FAIRFIELD, OH"
"Hays, Texas, US","21","30.05669873","-98.02944344",,"Hays, Texas, US","US","Texas","Texas","TX","United States","Hays","48209","HAYS, TX"
"Hancock, Ohio, US","21","41.00250487","-83.66838948",,"Hancock, Ohio, US","US","Ohio","Ohio","OH","United States","Hancock","39063","HANCOCK, OH"
"White Pine, Nevada, US","12","39.44157041","-114.89996599999999",,"White Pine, Nevada, US","US","Nevada","Nevada","NV","United States","White Pine","32033","WHITE PINE, NV"
"Pike, Mississippi, US","21","31.17507789","-90.40392572",,"Pike, Mississippi, US","US","Mississippi","Mississippi","MS","United States","Pike","28113","PIKE, MS"
"Prince William, Virginia, US","21","38.70916224","-77.48713689",,"Prince William, Virginia, US","US","Virginia","Virginia","VA","United States","Prince William","51153","PRINCE WILLIAM, VA"
"Guangdong, China","81","23.3417","113.4244","113460000","Guangdong, China","China","Guangdong","Guangdong",,"Global",,,
"Knox, Indiana, US","14","38.68861576","-87.4194665",,"Knox, Indiana, US","US","Indiana","Indiana","IN","United States","Knox","18083","KNOX, IN"
"Butts, Georgia, US","21","33.2830945","-83.9543504",,"Butts, Georgia, US","US","Georgia","Georgia","GA","United States","Butts","13035","BUTTS, GA"
"Leelanau, Michigan, US","21","44.94430054","-85.80150326",,"Leelanau, Michigan, US","US","Michigan","Michigan","MI","United States","Leelanau","26089","LEELANAU, MI"
"Washington, Maryland, US","21","39.60835778","-77.82002295",,"Washington, Maryland, US","US","Maryland","Maryland","MD","United States","Washington","24043","WASHINGTON, MD"
"Staunton, Virginia, US","8","38.15965544","-79.05979937",,"Staunton, Virginia, US","US","Virginia","Virginia","VA","United States","Staunton","51790","STAUNTON, VA"
"Mercer, Kentucky, US","14","37.81474237","-84.87488475",,"Mercer, Kentucky, US","US","Kentucky","Kentucky","KY","United States","Mercer","21167","MERCER, KY"
"Douglas, Kansas, US","21","38.88503636","-95.2925121",,"Douglas, Kansas, US","US","Kansas","Kansas","KS","United States","Douglas","20045","DOUGLAS, KS"
"Valencia, New Mexico, US","15","34.71669834","-106.8103733",,"Valencia, New Mexico, US","US","New Mexico","New Mexico","NM","United States","Valencia","35061","VALENCIA, NM"
